# File Name                               Expansion   Class Type   Class Name            Card Name                         Card #   Printflag
rv-aster-ability-back.png,                core,       apex,        aster,                aster ability back,               c-###,   1
rv-channel.png,                           core,       apex,        aster,                channel,                          c-018,   1
rv-solar-winds.png,                       core,       apex,        aster,                solar winds,                      c-019,   1
rv-torrid-glide.png,                      core,       apex,        aster,                torrid glide,                     c-017,   1
rv-withering-sear.png,                    core,       apex,        aster,                withering sear,                   c-020,   1
rv-canyon-temper-ability-back.png,        core,       apex,        canyon-temper,        canyon temper ability back,       c-###,   1
rv-double-carve.png,                      core,       apex,        canyon-temper,        double carve,                     c-010,   1
rv-friendly-barter.png,                   core,       apex,        canyon-temper,        friendly barter,                  c-011,   1
rv-gleaming-plumage.png,                  core,       apex,        canyon-temper,        gleaming plumage,                 c-012,   1
rv-raptor-stride.png,                     core,       apex,        canyon-temper,        raptor stride,                    c-009,   1
rv-best-a-foe.png,                        core,       prime,       conceptualist,        best a foe,                       c-042,   1
rv-conceptualist-ability-back.png,        core,       prime,       conceptualist,        conceptualist ability back,       c-###,   1
rv-inspire.png,                           core,       prime,       conceptualist,        inspire,                          c-043,   1
rv-made-manifest.png,                     core,       prime,       conceptualist,        made manifest,                    c-044,   1
rv-vault.png,                             core,       prime,       conceptualist,        vault,                            c-041,   1
rv-barter.png,                            core,       base,        dune-dancer,          barter,                           c-002,   1
rv-carve.png,                             core,       base,        dune-dancer,          carve,                            c-003,   1
rv-dune-dancer-ability-back.png,          core,       base,        dune-dancer,          dune dancer ability back,         c-###,   1
rv-erosion.png,                           core,       base,        dune-dancer,          erosion,                          c-004,   1
rv-stride.png,                            core,       base,        dune-dancer,          stride,                           c-001,   1
rv-channel.png,                           core,       base,        flash,                channel,                          c-014,   1
rv-flash-ability-back.png,                core,       base,        flash,                flash ability back,               c-###,   1
rv-gale.png,                              core,       base,        flash,                gale,                             c-015,   1
rv-glide.png,                             core,       base,        flash,                glide,                            c-013,   1
rv-sear.png,                              core,       base,        flash,                sear,                             c-016,   1
rv-channel.png,                           core,       prime,       helion,               channel,                          c-022,   1
rv-gale.png,                              core,       prime,       helion,               gale,                             c-023,   1
rv-helion-ability-back.png,               core,       prime,       helion,               helion ability back,              c-###,   1
rv-torrid-glide.png,                      core,       prime,       helion,               torrid glide,                     c-021,   1
rv-withering-sear.png,                    core,       prime,       helion,               withering sear,                   c-024,   1
rv-complete-seizure.png,                  core,       apex,        invisible-hand,       complete seizure,                 c-060,   1
rv-invisible-hand-ability-back.png,       core,       apex,        invisible-hand,       invisible hand ability back,      c-###,   1
rv-screen-then-skitter.png,               core,       apex,        invisible-hand,       screen then skitter,              c-057,   1
rv-secured-strike.png,                    core,       apex,        invisible-hand,       secured strike,                   c-058,   1
rv-take-stock.png,                        core,       apex,        invisible-hand,       take stock,                       c-059,   1
rv-beset-a-foe.png,                       core,       apex,        maximist,             beset a foe,                      c-046,   1
rv-inspire.png,                           core,       apex,        maximist,             inspire,                          c-047,   1
rv-made-manifest.png,                     core,       apex,        maximist,             made manifest,                    c-048,   1
rv-maximist-ability-back.png,             core,       apex,        maximist,             maximist ability back,            c-###,   1
rv-vault.png,                             core,       apex,        maximist,             vault,                            c-045,   1
rv-bloodlet.png,                          core,       apex,        nocturne-hoarfrost,   bloodlet,                         c-035,   1
rv-bound-and-pounce.png,                  core,       apex,        nocturne-hoarfrost,   bound and pounce,                 c-033,   1
rv-compose-and-reknit.png,                core,       apex,        nocturne-hoarfrost,   compose and reknit,               c-036,   1
rv-lurk-and-ambush.png,                   core,       apex,        nocturne-hoarfrost,   lurk and ambush,                  c-034,   1
rv-nocturne-hoarfrost-ability-back.png,   core,       apex,        nocturne-hoarfrost,   nocturne hoarfrost ability back,  c-###,   1
rv-adamant-plumage.png,                   core,       prime,       ridge-striker,        adamant plumage,                  c-008,   1
rv-friendly-barter.png,                   core,       prime,       ridge-striker,        friendly barter,                  c-007,   1
rv-ridge-striker-ability-back.png,        core,       prime,       ridge-striker,        ridge striker ability back,       c-###,   1
rv-stride.png,                            core,       prime,       ridge-striker,        stride,                           c-005,   1
rv-talon-carve.png,                       core,       prime,       ridge-striker,        talon carve,                      c-006,   1
rv-ambush.png,                            core,       base,        shadow-piercer,       ambush,                           c-027,   1
rv-bound.png,                             core,       base,        shadow-piercer,       bound,                            c-025,   1
rv-brace.png,                             core,       base,        shadow-piercer,       brace,                            c-026,   1
rv-reknit.png,                            core,       base,        shadow-piercer,       reknit,                           c-028,   1
rv-shadow-piercer-ability-back.png,       core,       base,        shadow-piercer,       shadow piercer ability back,      c-###,   1
rv-beset.png,                             core,       base,        sophist,              beset,                            c-039,   1
rv-inspire.png,                           core,       base,        sophist,              inspire,                          c-038,   1
rv-manifest.png,                          core,       base,        sophist,              manifest,                         c-040,   1
rv-sophist-ability-back.png,              core,       base,        sophist,              sophist ability back,             c-###,   1
rv-vault.png,                             core,       base,        sophist,              vault,                            c-037,   1
rv-secured-strike.png,                    core,       prime,       toll-bearer,          secured strike,                   c-054,   1
rv-seize.png,                             core,       prime,       toll-bearer,          seize,                            c-056,   1
rv-skitter.png,                           core,       prime,       toll-bearer,          skitter,                          c-053,   1
rv-take-stock.png,                        core,       prime,       toll-bearer,          take stock,                       c-055,   1
rv-toll-bearer-ability-back.png,          core,       prime,       toll-bearer,          toll bearer ability back,         c-###,   1
rv-seize.png,                             core,       base,        true-scale,           seize,                            c-052,   1
rv-skitter.png,                           core,       base,        true-scale,           skitter,                          c-049,   1
rv-strike.png,                            core,       base,        true-scale,           strike,                           c-050,   1
rv-take-stock.png,                        core,       base,        true-scale,           take stock,                       c-051,   1
rv-true-scale-ability-back.png,           core,       base,        true-scale,           true scale ability back,          c-###,   1
rv-belt-and-brace.png,                    core,       prime,       umbral-howl,          belt and brace,                   c-031,   1
rv-bound-and-pounce.png,                  core,       prime,       umbral-howl,          bound and pounce,                 c-029,   1
rv-compose-and-reknit.png,                core,       prime,       umbral-howl,          compose and reknit,               c-030,   1
rv-lurk-and-ambush.png,                   core,       prime,       umbral-howl,          lurk and ambush,                  c-032,   1
rv-umbral-howl-ability-back.png,          core,       prime,       umbral-howl,          umbral howl ability back,         c-###,   1
rv-beset-with-choice.png,                 xulc,       prime,       essentialist,         beset with choice,                c-087,   1
rv-essentialist-ability-back.png,         xulc,       prime,       essentialist,         essentialist ability back,        c-###,   1
rv-inspire.png,                           xulc,       prime,       essentialist,         inspire,                          c-086,   1
rv-manifest.png,                          xulc,       prime,       essentialist,         manifest,                         c-088,   1
rv-skip-vault.png,                        xulc,       prime,       essentialist,         skip vault,                       c-085,   1
rv-fierce-ransomer-ability-back.png,      xulc,       prime,       fierce-ransomer,      fierce ransomer ability back,     c-###,   1
