# File Name                                                 Expansion   Class Type   Class Name     Card Name                                      Card #   Printflag
rv-desktop-river-market.png,                                game,       pictures,    desktop,       desktop river market,                          x-###,   1
rv-desktop-silky-village.png,                               game,       pictures,    desktop,       desktop silky village,                         x-###,   1
rv-desktop-starling-sanctum.png,                            game,       pictures,    desktop,       desktop starling sanctum,                      x-###,   1
rv-game-box-cover.png,                                      game,       pictures,    game,          game box cover,                                x-###,   1
rv-game-taharik-battle.png,                                 game,       pictures,    game,          game taharik battle,                           x-###,   1
rv-mobile-dune-dancer.png,                                  game,       pictures,    mobile,        mobile dune dancer,                            x-###,   1
rv-mobile-flash.png,                                        game,       pictures,    mobile,        mobile flash,                                  x-###,   1
rv-mobile-shadow-piercer.png,                               game,       pictures,    mobile,        mobile shadow piercer,                         x-###,   1
rv-mobile-sophist.png,                                      game,       pictures,    mobile,        mobile sophist,                                x-###,   1
rv-mobile-true-scale.png,                                   game,       pictures,    mobile,        mobile true scale,                             x-###,   1
rv-poster-dune-dancer.png,                                  game,       pictures,    poster,        poster dune dancer,                            x-###,   1
rv-poster-flash.png,                                        game,       pictures,    poster,        poster flash,                                  x-###,   1
rv-poster-shadow-piercer.png,                               game,       pictures,    poster,        poster shadow piercer,                         x-###,   1
rv-poster-sophist.png,                                      game,       pictures,    poster,        poster sophist,                                x-###,   1
rv-poster-true-scale.png,                                   game,       pictures,    poster,        poster true scale,                             x-###,   1
rv-ahma-standee-front.png,                                  core,       standees,    adversaries,   ahma,                                          x-###,   1
rv-ahma-standee-back.png,                                   core,       standees,    adversaries,   ahma,                                          x-###,   1
rv-ahma-standee-front.png,                                  core,       standees,    adversaries,   ahma corrupter,                                x-###,   1
rv-ahma-standee-back.png,                                   core,       standees,    adversaries,   ahma corrupter,                                x-###,   1
rv-ahma-standee-front.png,                                  core,       standees,    adversaries,   ahma desperate,                                x-###,   1
rv-ahma-standee-back.png,                                   core,       standees,    adversaries,   ahma desperate,                                x-###,   1
rv-ahma-standee-front.png,                                  core,       standees,    adversaries,   ahma enraged,                                  x-###,   1
rv-ahma-standee-back.png,                                   core,       standees,    adversaries,   ahma enraged,                                  x-###,   1
rv-ahma-standee-front.png,                                  core,       standees,    adversaries,   ahma wretched,                                 x-###,   1
rv-ahma-standee-back.png,                                   core,       standees,    adversaries,   ahma wretched,                                 x-###,   1
rv-andiron-standee-front.png,                               core,       standees,    adversaries,   andiron,                                       x-###,   1
rv-andiron-standee-back.png,                                core,       standees,    adversaries,   andiron,                                       x-###,   1
rv-ashemak-standee-front.png,                               core,       standees,    adversaries,   ashemak,                                       x-###,   1
rv-ashemak-standee-back.png,                                core,       standees,    adversaries,   ashemak,                                       x-###,   1
rv-ashemak-standee-front.png,                               core,       standees,    adversaries,   faltering ashemak,                             x-###,   1
