# File Name                                Expansion   Class Type   Class Name            Card Name                     Card #   Printflag
rv-bulk-interactions.png,                  core,       apex,        aster,                bulk interactions,            s-092,   1
rv-coronal-loop.png,                       core,       apex,        aster,                coronal loop,                 s-097,   1
rv-coronal-mass-ejection.png,              core,       apex,        aster,                coronal mass ejection,        s-094,   1
rv-heat-transfer.png,                      core,       apex,        aster,                heat transfer,                s-098,   1
rv-heliosphere.png,                        core,       apex,        aster,                heliosphere,                  s-095,   1
rv-ionization.png,                         core,       apex,        aster,                ionization,                   s-096,   1
rv-meteor-shower.png,                      core,       apex,        aster,                meteor shower,                s-102,   1
rv-scorching-ray.png,                      core,       apex,        aster,                scorching ray,                s-100,   1
rv-solar-flare.png,                        core,       apex,        aster,                solar flare,                  s-093,   1
rv-sun-spots.png,                          core,       apex,        aster,                sun spots,                    s-099,   1
rv-thermal-conduit.png,                    core,       apex,        aster,                thermal conduit,              s-103,   1
rv-thermal-dynamism.png,                   core,       apex,        aster,                thermal dynamism,             s-104,   1
rv-warm-bodies.png,                        core,       apex,        aster,                warm bodies,                  s-091,   1
rv-warm-front.png,                         core,       apex,        aster,                warm front,                   s-101,   1
rv-beak-and-claw-and-sword.png,            core,       apex,        canyon-temper,        beak and claw and sword,      s-046,   1
rv-boulder-clad.png,                       core,       apex,        canyon-temper,        boulder clad,                 s-051,   1
rv-frost-depth.png,                        core,       apex,        canyon-temper,        frost depth,                  s-044,   1
rv-mighty-gust.png,                        core,       apex,        canyon-temper,        mighty gust,                  s-040,   1
rv-oasis-sanctuary.png,                    core,       apex,        canyon-temper,        oasis sanctuary,              s-039,   1
rv-quake-zone.png,                         core,       apex,        canyon-temper,        quake zone,                   s-049,   1
rv-ravenous-drako-front.png,               core,       apex,        canyon-temper,        ravenous drako,               a-004,   1
rv-ravenous-drako-back.png,                core,       apex,        canyon-temper,        ravenous drako,               a-004,   1
rv-razor-pinion.png,                       core,       apex,        canyon-temper,        razor pinion,                 s-047,   1
rv-red-blitz.png,                          core,       apex,        canyon-temper,        red blitz,                    s-050,   1
rv-sand-plume.png,                         core,       apex,        canyon-temper,        sand plume,                   s-045,   1
rv-scorching-maws.png,                     core,       apex,        canyon-temper,        scorching maws,               s-042,   1
rv-silicate-shield.png,                    core,       apex,        canyon-temper,        silicate shield,              s-048,   1
rv-take-flight.png,                        core,       apex,        canyon-temper,        take flight,                  s-041,   1
rv-uplifting-aid.png,                      core,       apex,        canyon-temper,        uplifting aid,                s-043,   1
rv-wrought-from-clay.png,                  core,       apex,        canyon-temper,        wrought from clay,            s-052,   1
rv-balance-the-equation.png,               core,       prime,       conceptualist,        balance the equation,         s-188,   1
rv-coefficient-value.png,                  core,       prime,       conceptualist,        coefficient value,            s-192,   1
rv-guiding-the-discussion.png,             core,       prime,       conceptualist,        guiding the discussion,       s-183,   1
rv-inner-monologue.png,                    core,       prime,       conceptualist,        inner monologue,              s-181,   1
rv-in-the-lines.png,                       core,       prime,       conceptualist,        in the lines,                 s-194,   1
rv-lasting-impression.png,                 core,       prime,       conceptualist,        lasting impression,           s-185,   1
rv-luminescent-quartic-front.png,          core,       prime,       conceptualist,        luminescent quartic,          a-008,   1
rv-luminescent-quartic-back.png,           core,       prime,       conceptualist,        luminescent quartic,          a-008,   1
rv-motivational-speeches.png,              core,       prime,       conceptualist,        motivational speeches,        s-190,   1
rv-out-of-the-box.png,                     core,       prime,       conceptualist,        out of the box,               s-193,   1
rv-parting-gift.png,                       core,       prime,       conceptualist,        parting gift,                 s-186,   1
rv-point-of-pursuit.png,                   core,       prime,       conceptualist,        point of pursuit,             s-184,   1
rv-radiant-spinaerios.png,                 core,       prime,       conceptualist,        radiant spinaerios,           s-182,   1
rv-radiant-spinaerios-front.png,           core,       prime,       conceptualist,        radiant spinaerios,           a-009,   1
rv-radiant-spinaerios-back.png,            core,       prime,       conceptualist,        radiant spinaerios,           a-009,   1
rv-simple-refraction.png,                  core,       prime,       conceptualist,        simple refraction,            s-187,   1
rv-the-oldest-trick.png,                   core,       prime,       conceptualist,        the oldest trick,             s-189,   1
rv-two-step-method.png,                    core,       prime,       conceptualist,        two-step method,              s-191,   1
rv-calm-rivers.png,                        core,       base,        dune-dancer,          calm rivers,                  s-005,   1
rv-camaraderie.png,                        core,       base,        dune-dancer,          camaraderie,                  s-023,   1
rv-chill-touch.png,                        core,       base,        dune-dancer,          chill touch,                  s-020,   1
rv-clay-grasp.png,                         core,       base,        dune-dancer,          clay grasp,                   s-001,   1
rv-crag-smash.png,                         core,       base,        dune-dancer,          crag smash,                   s-007,   1
rv-curious-ardorok-front.png,              core,       base,        dune-dancer,          curious ardorok,              a-001,   1
rv-curious-ardorok-back.png,               core,       base,        dune-dancer,          curious ardorok,              a-001,   1
rv-dearest-friend.png,                     core,       base,        dune-dancer,          dearest friend,               s-004,   1
rv-deep-freeze.png,                        core,       base,        dune-dancer,          deep freeze,                  s-016,   1
rv-deserts-gift.png,                       core,       base,        dune-dancer,          desert's gift,                s-015,   1
rv-desiccating-blast.png,                  core,       base,        dune-dancer,          desiccating blast,            s-002,   1
rv-dual-assault.png,                       core,       base,        dune-dancer,          dual assault,                 s-010,   1
rv-earthen-shield.png,                     core,       base,        dune-dancer,          earthen shield,               s-013,   1
rv-enchant-body.png,                       core,       base,        dune-dancer,          enchant body,                 s-024,   1
rv-flow-of-floes.png,                      core,       base,        dune-dancer,          flow of floes,                s-019,   1
rv-gift-of-the-oasis.png,                  core,       base,        dune-dancer,          gift of the oasis,            s-003,   1
rv-granite-phalanx.png,                    core,       base,        dune-dancer,          granite phalanx,              s-009,   1
rv-healing-surge.png,                      core,       base,        dune-dancer,          healing surge,                s-014,   1
rv-ice-blast.png,                          core,       base,        dune-dancer,          ice blast,                    s-008,   1
rv-oasis-reprieve.png,                     core,       base,        dune-dancer,          oasis reprieve,               s-017,   1
rv-pouncing-borejaw-front.png,             core,       base,        dune-dancer,          pouncing borejaw,             a-002,   1
rv-pouncing-borejaw-back.png,              core,       base,        dune-dancer,          pouncing borejaw,             a-002,   1
rv-quickening-sand.png,                    core,       base,        dune-dancer,          quickening sand,              s-012,   1
rv-rallying-cry.png,                       core,       base,        dune-dancer,          rallying cry,                 s-011,   1
