# File Name                                 Expansion   Class Type                      Class Name   Card Name                            Card #   Printflag
rv-catalyzing-amulet-1.png,                 core,       merchant-level-1-armor,         xxxxx,       catalyzing amulet,                   i-097,   1
rv-catalyzing-amulet-2.png,                 core,       merchant-level-1-armor,         xxxxx,       catalyzing amulet,                   i-098,   3
rv-chitin-plate-1.png,                      core,       merchant-level-1-armor,         xxxxx,       chitin plate,                        i-105,   1
rv-chitin-plate-2.png,                      core,       merchant-level-1-armor,         xxxxx,       chitin plate,                        i-106,   3
rv-empowering-veil-1.png,                   core,       merchant-level-1-armor,         xxxxx,       empowering veil,                     i-099,   1
rv-empowering-veil-2.png,                   core,       merchant-level-1-armor,         xxxxx,       empowering veil,                     i-100,   3
rv-feather-slips-1.png,                     core,       merchant-level-1-armor,         xxxxx,       feather slips,                       i-111,   1
rv-feather-slips-2.png,                     core,       merchant-level-1-armor,         xxxxx,       feather slips,                       i-112,   3
rv-focusing-veil-1.png,                     core,       merchant-level-1-armor,         xxxxx,       focusing veil,                       i-101,   1
rv-focusing-veil-2.png,                     core,       merchant-level-1-armor,         xxxxx,       focusing veil,                       i-102,   3
rv-leather-boots-1.png,                     core,       merchant-level-1-armor,         xxxxx,       leather boots,                       i-109,   1
rv-leather-boots-2.png,                     core,       merchant-level-1-armor,         xxxxx,       leather boots,                       i-110,   3
rv-merchant-level-1-armor-back.png,         core,       merchant-level-1-armor,         xxxxx,       merchant level 1 armor back,         i-###,   2
rv-spiked-plate-1.png,                      core,       merchant-level-1-armor,         xxxxx,       spiked plate,                        i-107,   1
rv-spiked-plate-2.png,                      core,       merchant-level-1-armor,         xxxxx,       spiked plate,                        i-108,   3
rv-stitcherhide-boots-1.png,                core,       merchant-level-1-armor,         xxxxx,       stitcherhide boots,                  i-113,   1
rv-stitcherhide-boots-2.png,                core,       merchant-level-1-armor,         xxxxx,       stitcherhide boots,                  i-114,   3
rv-studded-leather-1.png,                   core,       merchant-level-1-armor,         xxxxx,       studded leather,                     i-103,   1
rv-studded-leather-2.png,                   core,       merchant-level-1-armor,         xxxxx,       studded leather,                     i-104,   3
rv-arcana-pigment-1.png,                    core,       merchant-level-1-consumables,   xxxxx,       arcana pigment,                      i-173,   1
rv-arcana-pigment-2.png,                    core,       merchant-level-1-consumables,   xxxxx,       arcana pigment,                      i-174,   3
rv-arcana-pigment-3.png,                    core,       merchant-level-1-consumables,   xxxxx,       arcana pigment,                      i-175,   3
rv-arcana-pigment-4.png,                    core,       merchant-level-1-consumables,   xxxxx,       arcana pigment,                      i-176,   3
rv-captured-anima-1.png,                    core,       merchant-level-1-consumables,   xxxxx,       captured anima,                      i-177,   1
rv-captured-anima-2.png,                    core,       merchant-level-1-consumables,   xxxxx,       captured anima,                      i-178,   3
rv-captured-anima-3.png,                    core,       merchant-level-1-consumables,   xxxxx,       captured anima,                      i-179,   3
rv-captured-anima-4.png,                    core,       merchant-level-1-consumables,   xxxxx,       captured anima,                      i-180,   3
rv-firegrit-explosive-1.png,                core,       merchant-level-1-consumables,   xxxxx,       firegrit explosive,                  i-161,   1
rv-firegrit-explosive-2.png,                core,       merchant-level-1-consumables,   xxxxx,       firegrit explosive,                  i-162,   3
rv-firegrit-explosive-3.png,                core,       merchant-level-1-consumables,   xxxxx,       firegrit explosive,                  i-163,   3
rv-firegrit-explosive-4.png,                core,       merchant-level-1-consumables,   xxxxx,       firegrit explosive,                  i-164,   3
rv-imbuing-potion-1.png,                    core,       merchant-level-1-consumables,   xxxxx,       imbuing potion,                      i-157,   1
rv-imbuing-potion-2.png,                    core,       merchant-level-1-consumables,   xxxxx,       imbuing potion,                      i-158,   3
rv-imbuing-potion-3.png,                    core,       merchant-level-1-consumables,   xxxxx,       imbuing potion,                      i-159,   3
rv-imbuing-potion-4.png,                    core,       merchant-level-1-consumables,   xxxxx,       imbuing potion,                      i-160,   3
rv-merchant-level-1-consumables-back.png,   core,       merchant-level-1-consumables,   xxxxx,       merchant level 1 consumables back,   i-###,   2
rv-nektari-pollen-1.png,                    core,       merchant-level-1-consumables,   xxxxx,       nektari pollen,                      i-193,   1
rv-nektari-pollen-2.png,                    core,       merchant-level-1-consumables,   xxxxx,       nektari pollen,                      i-194,   3
rv-nektari-pollen-3.png,                    core,       merchant-level-1-consumables,   xxxxx,       nektari pollen,                      i-195,   3
rv-nektari-pollen-4.png,                    core,       merchant-level-1-consumables,   xxxxx,       nektari pollen,                      i-196,   3
rv-powdered-drakaen-1.png,                  core,       merchant-level-1-consumables,   xxxxx,       powdered drakaen,                    i-165,   1
rv-powdered-drakaen-2.png,                  core,       merchant-level-1-consumables,   xxxxx,       powdered drakaen,                    i-166,   3
rv-powdered-drakaen-3.png,                  core,       merchant-level-1-consumables,   xxxxx,       powdered drakaen,                    i-167,   3
rv-powdered-drakaen-4.png,                  core,       merchant-level-1-consumables,   xxxxx,       powdered drakaen,                    i-168,   3
rv-slingknife-1.png,                        core,       merchant-level-1-consumables,   xxxxx,       slingknife,                          i-169,   1
rv-slingknife-2.png,                        core,       merchant-level-1-consumables,   xxxxx,       slingknife,                          i-170,   3
rv-slingknife-3.png,                        core,       merchant-level-1-consumables,   xxxxx,       slingknife,                          i-171,   3
rv-slingknife-4.png,                        core,       merchant-level-1-consumables,   xxxxx,       slingknife,                          i-172,   3
rv-soothing-salve-1.png,                    core,       merchant-level-1-consumables,   xxxxx,       soothing salve,                      i-153,   1
rv-soothing-salve-2.png,                    core,       merchant-level-1-consumables,   xxxxx,       soothing salve,                      i-154,   3
rv-soothing-salve-3.png,                    core,       merchant-level-1-consumables,   xxxxx,       soothing salve,                      i-155,   3
rv-soothing-salve-4.png,                    core,       merchant-level-1-consumables,   xxxxx,       soothing salve,                      i-156,   3
rv-starling-shard-1.png,                    core,       merchant-level-1-consumables,   xxxxx,       starling shard,                      i-181,   1
rv-starling-shard-2.png,                    core,       merchant-level-1-consumables,   xxxxx,       starling shard,                      i-182,   3
rv-starling-shard-3.png,                    core,       merchant-level-1-consumables,   xxxxx,       starling shard,                      i-183,   3
rv-starling-shard-4.png,                    core,       merchant-level-1-consumables,   xxxxx,       starling shard,                      i-184,   3
rv-terranape-mallow-1.png,                  core,       merchant-level-1-consumables,   xxxxx,       terranape mallow,                    i-149,   1
rv-terranape-mallow-2.png,                  core,       merchant-level-1-consumables,   xxxxx,       terranape mallow,                    i-150,   3
rv-terranape-mallow-3.png,                  core,       merchant-level-1-consumables,   xxxxx,       terranape mallow,                    i-151,   3
rv-terranape-mallow-4.png,                  core,       merchant-level-1-consumables,   xxxxx,       terranape mallow,                    i-152,   3
rv-tihfur-claw-1.png,                       core,       merchant-level-1-consumables,   xxxxx,       tihfur claw,                         i-189,   1
rv-tihfur-claw-2.png,                       core,       merchant-level-1-consumables,   xxxxx,       tihfur claw,                         i-190,   3
rv-tihfur-claw-3.png,                       core,       merchant-level-1-consumables,   xxxxx,       tihfur claw,                         i-191,   3
rv-tihfur-claw-4.png,                       core,       merchant-level-1-consumables,   xxxxx,       tihfur claw,                         i-192,   3
rv-vigor-juice-1.png,                       core,       merchant-level-1-consumables,   xxxxx,       vigor juice,                         i-145,   1
rv-vigor-juice-2.png,                       core,       merchant-level-1-consumables,   xxxxx,       vigor juice,                         i-146,   3
rv-vigor-juice-3.png,                       core,       merchant-level-1-consumables,   xxxxx,       vigor juice,                         i-147,   3
rv-vigor-juice-4.png,                       core,       merchant-level-1-consumables,   xxxxx,       vigor juice,                         i-148,   3
rv-zusag-keystone-1.png,                    core,       merchant-level-1-consumables,   xxxxx,       zusag keystone,                      i-185,   1
rv-zusag-keystone-2.png,                    core,       merchant-level-1-consumables,   xxxxx,       zusag keystone,                      i-186,   3
rv-zusag-keystone-3.png,                    core,       merchant-level-1-consumables,   xxxxx,       zusag keystone,                      i-187,   3
rv-zusag-keystone-4.png,                    core,       merchant-level-1-consumables,   xxxxx,       zusag keystone,                      i-188,   3
rv-bannerspear-1.png,                       core,       merchant-level-1-weapons,       xxxxx,       bannerspear,                         i-015,   1
rv-bannerspear-2.png,                       core,       merchant-level-1-weapons,       xxxxx,       bannerspear,                         i-016,   3
rv-chitin-shield-1.png,                     core,       merchant-level-1-weapons,       xxxxx,       chitin shield,                       i-037,   1
rv-chitin-shield-2.png,                     core,       merchant-level-1-weapons,       xxxxx,       chitin shield,                       i-038,   3
rv-confounding-scroll-1.png,                core,       merchant-level-1-weapons,       xxxxx,       confounding scroll,                  i-029,   1
rv-confounding-scroll-2.png,                core,       merchant-level-1-weapons,       xxxxx,       confounding scroll,                  i-030,   3
rv-crackling-staff-1.png,                   core,       merchant-level-1-weapons,       xxxxx,       crackling staff,                     i-031,   1
rv-crackling-staff-2.png,                   core,       merchant-level-1-weapons,       xxxxx,       crackling staff,                     i-032,   3
rv-evervescent-staff-1.png,                 core,       merchant-level-1-weapons,       xxxxx,       evervescent staff,                   i-033,   1
rv-evervescent-staff-2.png,                 core,       merchant-level-1-weapons,       xxxxx,       evervescent staff,                   i-034,   3
rv-flaring-hurlbat-1.png,                   core,       merchant-level-1-weapons,       xxxxx,       flaring hurlbat,                     i-021,   1
rv-flaring-hurlbat-2.png,                   core,       merchant-level-1-weapons,       xxxxx,       flaring hurlbat,                     i-022,   3
rv-longbow-1.png,                           core,       merchant-level-1-weapons,       xxxxx,       longbow,                             i-025,   1
rv-longbow-2.png,                           core,       merchant-level-1-weapons,       xxxxx,       longbow,                             i-026,   3
rv-merchant-level-1-weapons-back.png,       core,       merchant-level-1-weapons,       xxxxx,       merchant level 1 weapons back,       i-###,   2
rv-miteshield-1.png,                        core,       merchant-level-1-weapons,       xxxxx,       miteshield,                          i-035,   1
rv-miteshield-2.png,                        core,       merchant-level-1-weapons,       xxxxx,       miteshield,                          i-036,   3
rv-scroll-of-fettle-1.png,                  core,       merchant-level-1-weapons,       xxxxx,       scroll of fettle,                    i-027,   1
rv-scroll-of-fettle-2.png,                  core,       merchant-level-1-weapons,       xxxxx,       scroll of fettle,                    i-028,   3
rv-shell-crusher-1.png,                     core,       merchant-level-1-weapons,       xxxxx,       shell crusher,                       i-019,   1
rv-shell-crusher-2.png,                     core,       merchant-level-1-weapons,       xxxxx,       shell crusher,                       i-020,   3
rv-shortbow-1.png,                          core,       merchant-level-1-weapons,       xxxxx,       shortbow,                            i-023,   1
rv-shortbow-2.png,                          core,       merchant-level-1-weapons,       xxxxx,       shortbow,                            i-024,   3
rv-slagblade-1.png,                         core,       merchant-level-1-weapons,       xxxxx,       slagblade,                           i-011,   1
rv-slagblade-2.png,                         core,       merchant-level-1-weapons,       xxxxx,       slagblade,                           i-012,   3
rv-spanspear-1.png,                         core,       merchant-level-1-weapons,       xxxxx,       spanspear,                           i-017,   1
rv-spanspear-2.png,                         core,       merchant-level-1-weapons,       xxxxx,       spanspear,                           i-018,   3
rv-splitter-1.png,                          core,       merchant-level-1-weapons,       xxxxx,       splitter,                            i-013,   1
rv-splitter-2.png,                          core,       merchant-level-1-weapons,       xxxxx,       splitter,                            i-014,   3
rv-cladrind-tunic-1.png,                    core,       merchant-level-2-armor,         xxxxx,       cladrind tunic,                      i-117,   1
rv-cladrind-tunic-2.png,                    core,       merchant-level-2-armor,         xxxxx,       cladrind tunic,                      i-118,   3
rv-farsight-lens-1.png,                     core,       merchant-level-2-armor,         xxxxx,       farsight lens,                       i-115,   1
rv-farsight-lens-2.png,                     core,       merchant-level-2-armor,         xxxxx,       farsight lens,                       i-116,   3
rv-merchant-level-2-armor-back.png,         core,       merchant-level-2-armor,         xxxxx,       merchant level 2 armor back,         i-###,   2
rv-quilled-boots-1.png,                     core,       merchant-level-2-armor,         xxxxx,       quilled boots,                       i-119,   1
rv-quilled-boots-2.png,                     core,       merchant-level-2-armor,         xxxxx,       quilled boots,                       i-120,   3
rv-broken-vessel-shard-1.png,               core,       merchant-level-2-consumables,   xxxxx,       broken vessel shard,                 i-197,   1
rv-broken-vessel-shard-2.png,               core,       merchant-level-2-consumables,   xxxxx,       broken vessel shard,                 i-198,   3
rv-broken-vessel-shard-3.png,               core,       merchant-level-2-consumables,   xxxxx,       broken vessel shard,                 i-199,   3
rv-broken-vessel-shard-4.png,               core,       merchant-level-2-consumables,   xxxxx,       broken vessel shard,                 i-200,   3
rv-condensed-will-1.png,                    core,       merchant-level-2-consumables,   xxxxx,       condensed will,                      i-201,   1
rv-condensed-will-2.png,                    core,       merchant-level-2-consumables,   xxxxx,       condensed will,                      i-202,   3
rv-condensed-will-3.png,                    core,       merchant-level-2-consumables,   xxxxx,       condensed will,                      i-203,   3
rv-condensed-will-4.png,                    core,       merchant-level-2-consumables,   xxxxx,       condensed will,                      i-204,   3
rv-glyph-autonomos-vertex-front.png,        core,       merchant-level-2-consumables,   xxxxx,       glyph-autonomos: vertex,             i-221,   1
rv-glyph-autonomos-vertex-back.png,         core,       merchant-level-2-consumables,   xxxxx,       glyph-autonomos: vertex,             i-221,   1
rv-merchant-level-2-consumables-back.png,   core,       merchant-level-2-consumables,   xxxxx,       merchant level 2 consumables back,   i-###,   2
rv-multifaceted-icon-1.png,                 core,       merchant-level-2-consumables,   xxxxx,       multifaceted icon,                   i-213,   1
rv-multifaceted-icon-2.png,                 core,       merchant-level-2-consumables,   xxxxx,       multifaceted icon,                   i-214,   3
rv-multifaceted-icon-3.png,                 core,       merchant-level-2-consumables,   xxxxx,       multifaceted icon,                   i-215,   3
rv-multifaceted-icon-4.png,                 core,       merchant-level-2-consumables,   xxxxx,       multifaceted icon,                   i-216,   3
rv-scour-ichor-1.png,                       core,       merchant-level-2-consumables,   xxxxx,       scour ichor,                         i-217,   1
rv-scour-ichor-2.png,                       core,       merchant-level-2-consumables,   xxxxx,       scour ichor,                         i-218,   3
rv-scour-ichor-3.png,                       core,       merchant-level-2-consumables,   xxxxx,       scour ichor,                         i-219,   3
rv-scour-ichor-4.png,                       core,       merchant-level-2-consumables,   xxxxx,       scour ichor,                         i-220,   3
rv-slingspear-1.png,                        core,       merchant-level-2-consumables,   xxxxx,       slingspear,                          i-205,   1
rv-slingspear-2.png,                        core,       merchant-level-2-consumables,   xxxxx,       slingspear,                          i-206,   3
