# File Name                             Expansion   Class Type   Class Name            Card Name                       Card #   Printflag
rv-aster-trait-back.png,                core,       apex,        aster,                aster trait back,               c-###,   2
rv-particle-beam.png,                   core,       apex,        aster,                particle beam,                  c-112,   1
rv-plasma-approximation.png,            core,       apex,        aster,                plasma approximation,           c-111,   1
rv-stellar-forging.png,                 core,       apex,        aster,                stellar forging,                c-110,   1
rv-blazing-charge.png,                  core,       apex,        canyon-temper,        blazing charge,                 c-105,   1
rv-canyon-temper-trait-back.png,        core,       apex,        canyon-temper,        canyon temper trait back,       c-###,   2
rv-earthen-whisper.png,                 core,       apex,        canyon-temper,        earthen whisper,                c-104,   1
rv-streak-boarding.png,                 core,       apex,        canyon-temper,        streak boarding,                c-106,   1
rv-conceptualist-trait-back.png,        core,       prime,       conceptualist,        conceptualist trait back,       c-###,   2
rv-ethos-rhetoric.png,                  core,       prime,       conceptualist,        ethos rhetoric,                 c-121,   1
rv-kanon-inventio.png,                  core,       prime,       conceptualist,        kanon inventio,                 c-120,   1
rv-pathos-rhetoric.png,                 core,       prime,       conceptualist,        pathos rhetoric,                c-119,   1
rv-helion-trait-back.png,               core,       prime,       helion,               helion trait back,              c-###,   2
rv-pyretic.png,                         core,       prime,       helion,               pyretic,                        c-107,   1
rv-thermostatic.png,                    core,       prime,       helion,               thermostatic,                   c-108,   1
rv-tropistic.png,                       core,       prime,       helion,               tropistic,                      c-109,   1
rv-directed-taxation.png,               core,       apex,        invisible-hand,       directed taxation,              c-128,   1
rv-exoskeletal-development.png,         core,       apex,        invisible-hand,       exoskeletal development,        c-129,   1
rv-invisible-hand-trait-back.png,       core,       apex,        invisible-hand,       invisible hand trait back,      c-###,   2
rv-skimming-sleight.png,                core,       apex,        invisible-hand,       skimming sleight,               c-130,   1
rv-chronos-rhetoric.png,                core,       apex,        maximist,             chronos rhetoric,               c-122,   1
rv-kanon-dispositio.png,                core,       apex,        maximist,             kanon dispositio,               c-123,   1
rv-kanon-memoria.png,                   core,       apex,        maximist,             kanon memoria,                  c-124,   1
rv-maximist-trait-back.png,             core,       apex,        maximist,             maximist trait back,            c-###,   2
rv-blood-vial.png,                      core,       apex,        nocturne-hoarfrost,   blood vial,                     c-116,   1
rv-nocturne-hoarfrost-trait-back.png,   core,       apex,        nocturne-hoarfrost,   nocturne hoarfrost trait back,  c-###,   2
rv-rime-cauterization.png,              core,       apex,        nocturne-hoarfrost,   rime cauterization,             c-118,   1
rv-threat-response.png,                 core,       apex,        nocturne-hoarfrost,   threat response,                c-117,   1
rv-act-of-solidarity.png,               core,       prime,       ridge-striker,        act of solidarity,              c-103,   1
rv-ridge-barding.png,                   core,       prime,       ridge-striker,        ridge barding,                  c-102,   1
rv-ridge-striker-trait-back.png,        core,       prime,       ridge-striker,        ridge striker trait back,       c-###,   2
rv-sum-of-our-parts.png,                core,       prime,       ridge-striker,        sum of our parts,               c-101,   1
rv-nest-egg.png,                        core,       prime,       toll-bearer,          nest egg,                       c-126,   1
rv-seize-the-means.png,                 core,       prime,       toll-bearer,          seize the means,                c-127,   1
rv-strategic-resources.png,             core,       prime,       toll-bearer,          strategic resources,            c-125,   1
rv-toll-bearer-trait-back.png,          core,       prime,       toll-bearer,          toll bearer trait back,         c-###,   2
rv-draw-from-death.png,                 core,       prime,       umbral-howl,          draw from death,                c-115,   1
rv-frenzied-feeding.png,                core,       prime,       umbral-howl,          frenzied feeding,               c-114,   1
rv-scent-of-blood.png,                  core,       prime,       umbral-howl,          scent of blood,                 c-113,   1
rv-umbral-howl-trait-back.png,          core,       prime,       umbral-howl,          umbral howl trait back,         c-###,   2
rv-carry-the-one.png,                   xulc,       prime,       essentialist,         carry the one,                  c-149,   1
rv-essentialist-trait-back.png,         xulc,       prime,       essentialist,         essentialist trait back,        c-###,   2
rv-substitution.png,                    xulc,       prime,       essentialist,         substitution,                   c-150,   1
rv-wild-card.png,                       xulc,       prime,       essentialist,         wild card,                      c-151,   1
rv-fierce-ransomer-trait-back.png,      xulc,       prime,       fierce-ransomer,      fierce ransomer trait back,     c-###,   2
rv-fire-sale.png,                       xulc,       prime,       fierce-ransomer,      fire sale,                      c-157,   1
rv-full-complement.png,                 xulc,       prime,       fierce-ransomer,      full complement,                c-155,   1
rv-nothing-wasted.png,                  xulc,       prime,       fierce-ransomer,      nothing wasted,                 c-156,   1
rv-firebirds-rally.png,                 xulc,       prime,       fountain-caller,      firebird's rally,               c-133,   1
rv-fountain-caller-trait-back.png,      xulc,       prime,       fountain-caller,      fountain caller trait back,     c-###,   2
rv-sum-of-our-parts.png,                xulc,       prime,       fountain-caller,      sum of our parts,               c-131,   1
rv-winged-embrace.png,                  xulc,       prime,       fountain-caller,      winged embrace,                 c-132,   1
rv-catabolic-boosting.png,              xulc,       other,       infected,             catabolic boosting,             c-168,   1
rv-entoman-carapace.png,                xulc,       other,       infected,             entoman carapace,               c-165,   1
rv-explosive-emissions.png,             xulc,       other,       infected,             explosive emissions,            c-161,   1
rv-hyper-flexibility.png,               xulc,       other,       infected,             hyper flexibility,              c-167,   1
rv-infected-trait-back.png,             xulc,       other,       infected,             infected trait back,            c-###,   2
rv-metabolic-balancing.png,             xulc,       other,       infected,             metabolic balancing,            c-163,   1
rv-silvan-appendages.png,               xulc,       other,       infected,             silvan appendages,              c-164,   1
rv-theran-instinct.png,                 xulc,       other,       infected,             theran instinct,                c-162,   1
rv-wing-membranes.png,                  xulc,       other,       infected,             wing membranes,                 c-166,   1
rv-kataphatist-trait-back.png,          xulc,       apex,        kataphatist,          kataphatist trait back,         c-###,   2
